ID	X	Y
17	93	-86
8	175	-83
44	146	-82
32	43	-69
11	321	-68
3	9	-66
41	277	-64
49	90	-63
27	140	-62
30	64	-60
2	177	-60
28	145	-56
15	146	-55
9	355	-53
25	40	-50
20	114	-49
13	43	-46
33	101	-37
42	283	-36
46	182	-31
37	200	-30
21	143	-18
5	37	-14
31	216	-13
24	335	-13
12	64	4
22	23	6
23	50	14
16	97	16
1	193	22
7	359	26
26	353	29
10	31	30
34	256	34
4	34	36
29	256	39
38	204	45
48	32	49
18	23	61
36	334	66
0	145	68
6	207	69
40	109	71
39	101	72
35	32	73
45	111	73
14	306	84
19	98	85
43	352	86
47	130	88
